numero_semana;producto;tienda;demanda_promedio;precio_promedio
20;4;1;1897;79,19
21;4;1;1955,5;79,19
22;4;1;1711,75;79,19
23;4;1;1859;79,19
24;4;1;1688,25;79,19
25;4;1;1887,25;79,19
26;4;1;1847,5;69,29
27;4;1;1616,25;65,99
28;4;1;1307,5;65,99
29;4;1;1395,25;65,99
30;4;1;1576,5;65,99
31;4;1;1864;65,99
32;4;1;1279;65,99
33;4;1;1626,5;65,99
34;4;1;1555,25;65,99
35;4;1;1600,75;75,89
36;4;1;1862,75;79,19
37;4;1;1782,25;79,19
38;4;1;1759,75;69,29
39;4;1;1419,25;65,99
40;4;1;1572,5;65,99
41;4;1;1388,75;65,99
42;4;1;2021;65,99
43;4;1;1572,25;65,99
44;4;1;1621;65,99
45;4;1;1370,25;65,99
46;4;1;1648,75;65,99
47;4;1;2040,75;65,99
48;4;1;1969,75;75,89
49;4;1;1375,25;79,19
50;4;1;1730,75;89,09
51;4;1;1712;82,49
52;4;1;2017,5;62,69
1;5;1;5673;25,59
2;5;1;5627;30,39
3;5;1;9703,5;31,99
4;5;1;7519,75;31,99
5;5;1;6506;27,19
6;5;1;5223,75;25,59
7;5;1;6604,25;25,59
8;5;1;8250,5;30,39
9;5;1;8039,25;31,99
10;5;1;8595;34,39
11;5;1;7072,75;37,59
12;5;1;10092,5;38,39
13;5;1;8461;38,39
14;5;1;9695,25;38,39
15;5;1;11840,75;38,39
16;5;1;10807,25;38,39
17;5;1;10144,75;38,39
18;5;1;11292,25;38,39
19;5;1;10801,75;38,39
20;5;1;7220;38,39
21;5;1;12632,5;38,39
22;5;1;12218,75;38,39
23;5;1;12444,25;38,39
24;5;1;8774,5;38,39
25;5;1;12495,5;38,39
26;5;1;9174,5;33,59
27;5;1;7754,75;31,99
28;5;1;10834,25;31,99
29;5;1;8865,25;31,99
30;5;1;7785;31,99
31;5;1;6273,75;31,99
32;5;1;6724,75;31,99
33;5;1;9467,5;31,99
34;5;1;7078,75;31,99
35;5;1;6856,75;36,79
36;5;1;7341;38,39
37;5;1;8990,25;38,39
38;5;1;8160,25;33,59
39;5;1;5740,5;31,99
40;5;1;6878,75;31,99
41;5;1;6882;31,99
42;5;1;10589,25;31,99
43;5;1;9605;31,99
44;5;1;9202,75;31,99
45;5;1;8527,5;31,99
46;5;1;7899,25;31,99
47;5;1;8528,5;31,99
48;5;1;11040,75;36,79
49;5;1;8361;38,39
50;5;1;10592,75;43,19
51;5;1;7677,75;39,99
52;5;1;7372,75;30,39
1;6;1;2406,25;44,8
2;6;1;1826;53,2
3;6;1;2691,25;56
4;6;1;2289,5;56
5;6;1;1901;47,6
6;6;1;2478,5;44,8
7;6;1;2759;44,8
8;6;1;1891;53,2
9;6;1;2220;56
10;6;1;2143;60,2
11;6;1;2829;65,8
12;6;1;3038;67,2
13;6;1;2886,75;67,2
14;6;1;2592,25;67,2
15;6;1;1800;67,2
16;6;1;2621,5;67,2
17;6;1;2486,25;67,2
18;6;1;2796,75;67,2
19;6;1;2812,75;67,2
20;6;1;2518,25;67,2
21;6;1;2330,75;67,2
22;6;1;2489,5;67,2
23;6;1;2366,5;67,2
24;6;1;2279;67,2
25;6;1;1778,5;67,2
26;6;1;2131,5;58,8
27;6;1;2208;56
28;6;1;2171,75;56
29;6;1;2471,25;56
30;6;1;2623;56
31;6;1;2737;56
32;6;1;1631,75;56
33;6;1;2535,5;56
34;6;1;2851,75;56
35;6;1;1937,75;64,4
36;6;1;2734,75;67,2
37;6;1;2437,5;67,2
38;6;1;3341,25;58,8
39;6;1;2792;56
40;6;1;2313,25;56
41;6;1;2687,75;56
42;6;1;2665,25;56
43;6;1;2450;56
44;6;1;2419,25;56
45;6;1;2855;56
46;6;1;2640;56
47;6;1;1900;56
48;6;1;2730,75;64,4
49;6;1;2718,25;67,2
50;6;1;2817;75,6
51;6;1;3054,75;70
52;6;1;2655,75;53,2
1;7;1;3727,75;71,99
2;7;1;3388,25;85,49
3;7;1;4958,5;89,99
4;7;1;5533,5;89,99
5;7;1;4560,5;76,49
6;7;1;5772,25;71,99
7;7;1;5394,5;71,99
8;7;1;6138,25;85,49
9;7;1;5740;89,99
10;7;1;4727,75;96,74
11;7;1;5938,25;105,74
12;7;1;5236,75;107,99
13;7;1;6243;107,99
14;7;1;4889;107,99
15;7;1;5268,75;107,99
16;7;1;3994;107,99
17;7;1;5252,5;107,99
18;7;1;3581,75;107,99
19;7;1;4489,5;107,99
20;7;1;4928;107,99
21;7;1;4166,75;107,99
22;7;1;4557,5;107,99
23;7;1;6314;107,99
24;7;1;4554,25;107,99
25;7;1;4255,25;107,99
26;7;1;4945,5;94,49
27;7;1;3841,25;89,99
28;7;1;5404,75;89,99
29;7;1;5248,75;89,99
30;7;1;5167,75;89,99
31;7;1;4301;89,99
32;7;1;4957,5;89,99
33;7;1;5922;89,99
34;7;1;3976,75;89,99
35;7;1;4514,5;103,49
36;7;1;3492,5;107,99
37;7;1;5605,5;107,99
38;7;1;5169,75;94,49
39;7;1;4765;89,99
40;7;1;5282,75;89,99
41;7;1;3945,5;89,99
42;7;1;4384;89,99
43;7;1;5122,25;89,99
44;7;1;4744,25;89,99
45;7;1;4902,25;89,99
46;7;1;6272,5;89,99
47;7;1;5735,25;89,99
48;7;1;4174,5;103,49
49;7;1;5135,75;107,99
50;7;1;4328;121,49
51;7;1;4688,5;112,49
52;7;1;3477,75;85,49
1;8;1;2842,25;49,59
2;8;1;4004,5;58,89
3;8;1;3563,5;61,99
4;8;1;2836,5;61,99
5;8;1;3174,75;52,69
6;8;1;3945,5;49,59
7;8;1;2897,25;49,59
8;8;1;3855;58,89
9;8;1;2680;61,99
10;8;1;3227,25;66,64
11;8;1;3535;72,84
12;8;1;3842,5;74,39
13;8;1;4020,25;74,39
14;8;1;4976,25;74,39
15;8;1;4391,5;74,39
16;8;1;3126,5;74,39
17;8;1;5081,25;74,39
18;8;1;2666;74,39
19;8;1;3770,25;74,39
20;8;1;3399,25;74,39
21;8;1;3150,25;74,39
22;8;1;4162,75;74,39
23;8;1;3220,25;74,39
24;8;1;2909,25;74,39
25;8;1;2154,5;74,39
26;8;1;4817;65,09
27;8;1;2924;61,99
28;8;1;3393,5;61,99
29;8;1;3726;61,99
30;8;1;3746,75;61,99
31;8;1;3855,25;61,99
32;8;1;3878,75;61,99
33;8;1;3522,75;61,99
34;8;1;3671;61,99
35;8;1;3663,5;71,29
36;8;1;3787,5;74,39
37;8;1;4440,25;74,39
38;8;1;3002,75;65,09
39;8;1;4810,25;61,99
40;8;1;3767,75;61,99
41;8;1;3281,75;61,99
42;8;1;2294,75;61,99
43;8;1;2707,75;61,99
44;8;1;3212,25;61,99
45;8;1;3351,75;61,99
46;8;1;3916,5;61,99
47;8;1;2601;61,99
48;8;1;3156;71,29
49;8;1;3826;74,39
50;8;1;3650,75;83,69
51;8;1;3998;77,49
52;8;1;3416,75;58,89
1;9;1;2927,25;31,99
2;9;1;4399;37,99
3;9;1;4801,5;39,99
4;9;1;5247,5;39,99
5;9;1;3602;33,99
6;9;1;3404,5;31,99
7;9;1;3802;31,99
8;9;1;4614,75;37,99
9;9;1;4666,75;39,99
10;9;1;4004;42,99
11;9;1;3666,25;46,99
12;9;1;4837,5;47,99
13;9;1;4710,5;47,99
14;9;1;4038,75;47,99
15;9;1;4636,25;47,99
16;9;1;3792,75;47,99
17;9;1;6095,25;47,99
18;9;1;3052,25;47,99
19;9;1;3661,5;47,99
20;9;1;5840,5;47,99
21;9;1;4794,5;47,99
22;9;1;5345,5;47,99
23;9;1;5272,75;47,99
24;9;1;4077,75;47,99
25;9;1;4062,25;47,99
26;9;1;4066;41,99
27;9;1;3566,75;39,99
28;9;1;4394,25;39,99
29;9;1;3636,75;39,99
30;9;1;3795,25;39,99
31;9;1;4634;39,99
32;9;1;3345,25;39,99
33;9;1;3209,25;39,99
34;9;1;4007,5;39,99
35;9;1;5199,75;45,99
36;9;1;4258;47,99
37;9;1;7048,75;47,99
38;9;1;4561;41,99
39;9;1;4642,25;39,99
40;9;1;4421,25;39,99
41;9;1;4424,25;39,99
42;9;1;4906,75;39,99
43;9;1;4446,5;39,99
44;9;1;4491;39,99
45;9;1;4093,25;39,99
46;9;1;4768;39,99
47;9;1;3609;39,99
48;9;1;5529,25;45,99
49;9;1;4611,75;47,99
50;9;1;6573,5;53,99
51;9;1;4264,5;49,99
52;9;1;3115,75;37,99
1;10;1;3978,25;17,59
2;10;1;4939,25;20,89
3;10;1;7477,75;21,99
4;10;1;6883,5;21,99
5;10;1;5435,5;18,69
6;10;1;5823,75;17,59
7;10;1;5460;17,59
8;10;1;7949;20,89
9;10;1;7408,75;21,99
10;10;1;6981,5;23,64
11;10;1;6472,75;25,84
12;10;1;10725;26,39
13;10;1;8409,25;26,39
14;10;1;9109,25;26,39
15;10;1;8209,75;26,39
16;10;1;9223,5;26,39
17;10;1;9874,5;26,39
18;10;1;6923,25;26,39
19;10;1;8131,75;26,39
20;10;1;10199,5;26,39
21;10;1;8163;26,39
22;10;1;8947,5;26,39
23;10;1;7290,75;26,39
24;10;1;8631,5;26,39
25;10;1;5724;26,39
26;10;1;7411,25;23,09
27;10;1;8743,75;21,99
28;10;1;8748,5;21,99
29;10;1;8922;21,99
30;10;1;5290;21,99
31;10;1;7870,75;21,99
32;10;1;7118,75;21,99
33;10;1;7569;21,99
34;10;1;8296,5;21,99
35;10;1;10247,25;25,29
36;10;1;7335,75;26,39
37;10;1;5323,25;26,39
38;10;1;7110,5;23,09
39;10;1;6132;21,99
40;10;1;5651,5;21,99
41;10;1;6789,25;21,99
42;10;1;6108,5;21,99
43;10;1;8131,5;21,99
44;10;1;7296,75;21,99
45;10;1;7748,25;21,99
46;10;1;8022,5;21,99
47;10;1;5898,5;21,99
48;10;1;7618,75;25,29
49;10;1;8756,25;26,39
50;10;1;6675,25;29,69
51;10;1;5898;27,49
52;10;1;5935,25;20,89
1;1;2;2302,25;28,79
2;1;2;3072,75;34,19
3;1;2;2233;35,99
4;1;2;3143,25;35,99
5;1;2;2874,5;30,59
6;1;2;2357,25;28,79
7;1;2;1949,25;28,79
8;1;2;2641,75;34,19
9;1;2;2478,75;35,99
10;1;2;2712,25;38,69
11;1;2;2164,5;42,29
12;1;2;3647,75;43,19
13;1;2;3083,25;43,19
14;1;2;3527,5;43,19
15;1;2;3357,5;43,19
16;1;2;3095,75;43,19
17;1;2;3925,5;43,19
18;1;2;3332,5;43,19
19;1;2;3398,75;43,19
20;1;2;3525;43,19
21;1;2;3716;43,19
22;1;2;3328,25;43,19
23;1;2;3473;43,19
24;1;2;2944,25;43,19
25;1;2;2928,25;43,19
26;1;2;2536,5;37,79
27;1;2;3340;35,99
28;1;2;2929,5;35,99
29;1;2;2960,25;35,99
30;1;2;2141;35,99
31;1;2;2976;35,99
32;1;2;3040,25;35,99
33;1;2;2171,5;35,99
34;1;2;2686,75;35,99
35;1;2;3702,5;41,39
36;1;2;3952,25;43,19
37;1;2;3360;43,19
38;1;2;2818,5;37,79
39;1;2;2835,5;35,99
40;1;2;2612,75;35,99
41;1;2;3558;35,99
42;1;2;2568;35,99
43;1;2;2821,25;35,99
44;1;2;2741,25;35,99
45;1;2;2893,75;35,99
46;1;2;2496,5;35,99
47;1;2;2657,5;35,99
48;1;2;2554,25;41,39
49;1;2;3079;43,19
50;1;2;3260,75;48,59
51;1;2;3899,25;44,99
52;1;2;2950,75;34,19
1;2;2;5762,25;18,39
2;2;2;5854,75;21,84
3;2;2;7810,75;22,99
4;2;2;5163,75;22,99
5;2;2;5289,75;19,54
6;2;2;5741,5;18,39
7;2;2;5812,75;18,39
8;2;2;5774;21,84
9;2;2;6640,75;22,99
10;2;2;6825,75;24,715
11;2;2;7573,5;27,015
12;2;2;10172,5;27,59
13;2;2;10217,75;27,59
14;2;2;8095;27,59
15;2;2;8223,75;27,59
16;2;2;10045;27,59
17;2;2;7800;27,59
18;2;2;7414,5;27,59
19;2;2;8868,25;27,59
20;2;2;8472,75;27,59
21;2;2;7127;27,59
22;2;2;7620,5;27,59
23;2;2;7793,25;27,59
24;2;2;9312;27,59
25;2;2;10220,75;27,59
26;2;2;6863,25;24,14
27;2;2;8690,25;22,99
28;2;2;6742,75;22,99
29;2;2;7355,5;22,99
30;2;2;7205;22,99
31;2;2;5587,25;22,99
32;2;2;7375,25;22,99
33;2;2;7927;22,99
34;2;2;6401,25;22,99
35;2;2;6475,5;26,44
36;2;2;9622;27,59
37;2;2;8506,5;27,59
38;2;2;5868,25;24,14
39;2;2;7680,75;22,99
40;2;2;6807,75;22,99
41;2;2;7412,25;22,99
42;2;2;6723,25;22,99
43;2;2;7654,75;22,99
44;2;2;7814,75;22,99
45;2;2;7538,75;22,99
46;2;2;6016;22,99
47;2;2;6903,5;22,99
48;2;2;7134,75;26,44
49;2;2;7750,25;27,59
50;2;2;6926,75;31,04
51;2;2;7633,5;28,74
52;2;2;7723,5;21,84
1;3;2;2750,25;30,39
2;3;2;3435,75;36,09
3;3;2;3327,75;37,99
4;3;2;3842,25;37,99
5;3;2;3120,75;32,29
6;3;2;2671,25;30,39
7;3;2;2217,5;30,39
8;3;2;2757;36,09
9;3;2;3383,25;37,99
10;3;2;3163;40,84
11;3;2;4148;44,64
12;3;2;4486,5;45,59
13;3;2;3697,5;45,59
14;3;2;3279,5;45,59
15;3;2;3470;45,59
16;3;2;4231,75;45,59
17;3;2;4154,25;45,59
18;3;2;4242,75;45,59
19;3;2;3723,5;45,59
20;3;2;3459,25;45,59
21;3;2;4435,25;45,59
22;3;2;4195,5;45,59
23;3;2;4012,75;45,59
24;3;2;4043;45,59
25;3;2;4304,25;45,59
26;3;2;3528;39,89
27;3;2;4251;37,99
28;3;2;3193,25;37,99
29;3;2;3899;37,99
30;3;2;3761;37,99
31;3;2;2924;37,99
32;3;2;3913,75;37,99
33;3;2;2848,5;37,99
34;3;2;3185,5;37,99
35;3;2;3221;43,69
36;3;2;3984,25;45,59
37;3;2;2909,5;45,59
38;3;2;4224,25;39,89
39;3;2;3719,75;37,99
40;3;2;2456,5;37,99
41;3;2;2676,75;37,99
42;3;2;4347;37,99
43;3;2;4194,5;37,99
44;3;2;3168,75;37,99
45;3;2;4081;37,99
46;3;2;4572,75;37,99
47;3;2;3354;37,99
48;3;2;3723,75;43,69
49;3;2;3431;45,59
50;3;2;4676,75;51,29
51;3;2;5079,75;47,49
52;3;2;2856,5;36,09
1;4;2;1122,5;55,99
2;4;2;915,75;66,49
3;4;2;1226;69,99
4;4;2;1211,5;69,99
5;4;2;1255;59,49
6;4;2;1115;55,99
7;4;2;1126,75;55,99
8;4;2;1139,75;66,49
9;4;2;783,25;69,99
10;4;2;1333,5;75,24
11;4;2;1353,75;82,24
12;4;2;1310;83,99
13;4;2;1167,75;83,99
14;4;2;1700;83,99
15;4;2;1519,5;83,99
16;4;2;1087,75;83,99
17;4;2;1397,5;83,99
18;4;2;1614,25;83,99
19;4;2;996,25;83,99
20;4;2;982,5;83,99
21;4;2;1048,25;83,99
22;4;2;1413;83,99
23;4;2;1132,5;83,99
24;4;2;1387;83,99
25;4;2;1533;83,99
26;4;2;1096,5;73,49
27;4;2;1384,75;69,99
28;4;2;1417,75;69,99
29;4;2;1293;69,99
30;4;2;1277;69,99
31;4;2;1182;69,99
32;4;2;1493,5;69,99
33;4;2;1319,25;69,99
34;4;2;1096,5;69,99
35;4;2;1169,25;80,49
36;4;2;1350,5;83,99
37;4;2;1552,75;83,99
38;4;2;1481;73,49
39;4;2;1419;69,99
40;4;2;1642,5;69,99
41;4;2;1388,25;69,99
42;4;2;1189,25;69,99
43;4;2;1478;69,99
44;4;2;1027,25;69,99
45;4;2;1291,5;69,99
46;4;2;980;69,99
47;4;2;1309,25;69,99
48;4;2;1284,25;80,49
49;4;2;1455,25;83,99
50;4;2;1309,25;94,49
51;4;2;1456;87,49
52;4;2;1428,75;66,49
1;5;2;5416,5;24,79
2;5;2;8349;29,44
3;5;2;7916,5;30,99
4;5;2;6065,5;30,99
5;5;2;5099,5;26,34
6;5;2;4869,25;24,79
7;5;2;6824,75;24,79
8;5;2;5582,5;29,44
9;5;2;6846;30,99
10;5;2;7522,75;33,315
11;5;2;6040,25;36,415
12;5;2;7498,5;37,19
13;5;2;8215,5;37,19
14;5;2;8007,75;37,19
15;5;2;6150,75;37,19
16;5;2;7388,5;37,19
17;5;2;6360,25;37,19
18;5;2;6264,75;37,19
19;5;2;10649,5;37,19
20;5;2;7134,25;37,19
21;5;2;8403,75;37,19
22;5;2;7323,5;37,19
23;5;2;9880,5;37,19
24;5;2;6566,5;37,19
25;5;2;8223,5;37,19
26;5;2;6330,5;32,54
27;5;2;5111,75;30,99
28;5;2;6339,5;30,99
29;5;2;8111,25;30,99
30;5;2;7388;30,99
31;5;2;7260,5;30,99
32;5;2;5479,5;30,99
33;5;2;7005,25;30,99
34;5;2;5187;30,99
35;5;2;7942;35,64
36;5;2;7542;37,19
37;5;2;8420;37,19
38;5;2;7252,25;32,54
39;5;2;7320;30,99
40;5;2;6926,5;30,99
41;5;2;7763,75;30,99
42;5;2;7051,25;30,99
43;5;2;7234;30,99
44;5;2;5456,75;30,99
45;5;2;5226;30,99
46;5;2;7161,5;30,99
47;5;2;6780,75;30,99
48;5;2;8448,75;35,64
49;5;2;8190,5;37,19
50;5;2;8099,75;41,84
51;5;2;7875,75;38,74
52;5;2;5864;29,44
1;6;2;2272,5;49,59
2;6;2;2333,5;58,89
3;6;2;1926,5;61,99
4;6;2;2444;61,99
5;6;2;2076,75;52,69
6;6;2;1864;49,59
7;6;2;1913;49,59
8;6;2;1947,5;58,89
9;6;2;2709;61,99
10;6;2;1427,75;66,64
11;6;2;2383,75;72,84
12;6;2;2746;74,39
13;6;2;2614,5;74,39
14;6;2;2527,5;74,39
15;6;2;2969,75;74,39
16;6;2;2640,25;74,39
17;6;2;2102,75;74,39
18;6;2;2264;74,39
19;6;2;2658,5;74,39
20;6;2;3017,75;74,39
21;6;2;2607,75;74,39
22;6;2;2700,75;74,39
23;6;2;2677;74,39
24;6;2;2568,5;74,39
25;6;2;2065,25;74,39
26;6;2;2634,75;65,09
27;6;2;2653,75;61,99
28;6;2;2337,5;61,99
29;6;2;2387;61,99
30;6;2;2075,75;61,99
31;6;2;1413,75;61,99
32;6;2;2045;61,99
33;6;2;1823,25;61,99
34;6;2;2392,5;61,99
35;6;2;2305,5;71,29
36;6;2;2411,5;74,39
37;6;2;2961,75;74,39
38;6;2;2389;65,09
39;6;2;2194,25;61,99
40;6;2;1789;61,99
41;6;2;2301;61,99
42;6;2;2084,75;61,99
43;6;2;2218,5;61,99
44;6;2;2379,25;61,99
45;6;2;2344,25;61,99
46;6;2;2040;61,99
47;6;2;2838;61,99
48;6;2;2296,5;71,29
49;6;2;2539;74,39
50;6;2;3347,25;83,69
51;6;2;2424,75;77,49
52;6;2;1723,75;58,89
1;7;2;5361;68,79
2;7;2;4565,75;81,69
3;7;2;7118,5;85,99
4;7;2;6237,5;85,99
5;7;2;4581,75;73,09
6;7;2;5643;68,79
7;7;2;4643,5;68,79
8;7;2;5034;81,69
9;7;2;5271,5;85,99
10;7;2;5921,25;92,44
11;7;2;5402;101,04
12;7;2;5528,25;103,19
13;7;2;4365,25;103,19
14;7;2;4810;103,19
15;7;2;4938,75;103,19
16;7;2;6167;103,19
17;7;2;4820,75;103,19
18;7;2;6594,75;103,19
19;7;2;6013,75;103,19
20;7;2;6694,25;103,19
21;7;2;7008,75;103,19
22;7;2;5537,25;103,19
23;7;2;5401;103,19
24;7;2;5046,5;103,19
25;7;2;5474,5;103,19
26;7;2;5274,5;90,29
27;7;2;4790,25;85,99
28;7;2;5318;85,99
29;7;2;6242,25;85,99
30;7;2;4364,5;85,99
31;7;2;5412,25;85,99
32;7;2;5369,25;85,99
33;7;2;6380,5;85,99
34;7;2;6590,5;85,99
35;7;2;5252,25;98,89
36;7;2;6578;103,19
37;7;2;7272,5;103,19
38;7;2;5779,5;90,29
39;7;2;6336;85,99
40;7;2;6177,5;85,99
41;7;2;4609,5;85,99
42;7;2;5013,25;85,99
43;7;2;4911,25;85,99
44;7;2;5215,5;85,99
45;7;2;5153,75;85,99
46;7;2;5333,75;85,99
47;7;2;5045,5;85,99
48;7;2;4727,75;98,89
49;7;2;5721,5;103,19
50;7;2;4924;116,09
51;7;2;6621,5;107,49
52;7;2;4827,5;81,69
1;8;2;2728,25;49,59
2;8;2;3577,25;58,89
3;8;2;2766;61,99
4;8;2;2852;61,99
5;8;2;3646,5;52,69
6;8;2;2779,75;49,59
7;8;2;3427,25;49,59
8;8;2;3287,75;58,89
9;8;2;3868,25;61,99
10;8;2;2052,75;66,64
11;8;2;3889,5;72,84
12;8;2;3262;74,39
13;8;2;3742,25;74,39
14;8;2;4113,5;74,39
15;8;2;2595,5;74,39
16;8;2;3123,75;74,39
17;8;2;4812,5;74,39
18;8;2;3938,25;74,39
19;8;2;4517,75;74,39
20;8;2;2566,75;74,39
21;8;2;3438,75;74,39
22;8;2;4388,5;74,39
23;8;2;3700;74,39
24;8;2;4088,25;74,39
25;8;2;4310,75;74,39
26;8;2;2806,25;65,09
27;8;2;3202,25;61,99
28;8;2;3097,75;61,99
29;8;2;4280;61,99
30;8;2;3445,25;61,99
31;8;2;3038;61,99
32;8;2;2383,75;61,99
33;8;2;3303,5;61,99
34;8;2;3381,25;61,99
35;8;2;4037;71,29
36;8;2;3378,25;74,39
37;8;2;4056,25;74,39
38;8;2;2925,25;65,09
39;8;2;2896,25;61,99
40;8;2;2611;61,99
41;8;2;3965,5;61,99
42;8;2;3426;61,99
43;8;2;3508,75;61,99
44;8;2;3076,75;61,99
45;8;2;3745,5;61,99
46;8;2;2985,75;61,99
47;8;2;3663,75;61,99
48;8;2;3415;71,29
49;8;2;3065,75;74,39
50;8;2;3730,5;83,69
51;8;2;3706;77,49
52;8;2;3683,5;58,89
1;9;2;3251,25;31,99
2;9;2;3677,25;37,99
3;9;2;4276,5;39,99
4;9;2;3994,75;39,99
5;9;2;3878,75;33,99
6;9;2;2958;31,99
7;9;2;3493,25;31,99
8;9;2;4748,25;37,99
9;9;2;4128,25;39,99
10;9;2;3079,5;42,99
11;9;2;3683;46,99
12;9;2;5024,5;47,99
13;9;2;4166,25;47,99
14;9;2;4268,25;47,99
15;9;2;5395,25;47,99
16;9;2;3504;47,99
17;9;2;5489,25;47,99
18;9;2;5146;47,99
19;9;2;4564;47,99
20;9;2;4880,5;47,99
21;9;2;4783,5;47,99
22;9;2;5355,5;47,99
23;9;2;2870,25;47,99
24;9;2;5392,25;47,99
25;9;2;4638,5;47,99
26;9;2;3790,25;41,99
27;9;2;4446,25;39,99
28;9;2;5005,75;39,99
