,"Demanda observada (ventas), en unidades, y precio de venta (en M$) semanal",,,,,,,,,,,,,,,,,,,,
17,4/23/2021,3791,43.19,5524,27.59,5919,45.59,1502,83.99,6846,37.19,2258,74.39,4587,103.19,4976,74.39,5600,47.99,13001,26.39
18,4/30/2021,2330,43.19,4514,27.59,6719,45.59,2145,83.99,9651,37.19,2518,74.39,8500,103.19,5676,74.39,4934,47.99,14975,26.39
19,5/7/2021,3973,43.19,7782,27.59,4036,45.59,873,83.99,7911,37.19,2625,74.39,3729,103.19,5201,74.39,5532,47.99,3962,26.39
20,5/14/2021,3295,43.19,5683,27.59,3786,45.59,1020,83.99,5442,37.19,2125,74.39,8322,103.19,2533,74.39,6919,47.99,9114,26.39
21,5/21/2021,5329,43.19,6392,27.59,3106,45.59,1318,83.99,8346,37.19,1772,74.39,6915,103.19,2472,74.39,5207,47.99,6062,26.39
22,5/28/2021,5233,43.19,8851,27.59,2701,45.59,1635,83.99,7012,37.19,3947,74.39,5943,103.19,5109,74.39,5458,47.99,12037,26.39
23,6/4/2021,4259,43.19,9375,27.59,3948,45.59,1227,83.99,10731,37.19,1611,74.39,5379,103.19,2739,74.39,2592,47.99,7958,26.39
24,6/11/2021,3701,43.19,7480,27.59,4283,45.59,1586,83.99,7550,37.19,3210,74.39,3756,103.19,4038,74.39,4912,47.99,10112,26.39
25,6/18/2021,3703,43.19,6090,27.59,3538,45.59,1744,83.99,8180,37.19,2899,74.39,7750,103.19,3775,74.39,4051,47.99,8841,26.39
26,6/25/2021,2151,43.19,6546,27.59,4707,45.59,1030,83.99,5468,37.19,3034,74.39,4586,103.19,2182,74.39,4394,47.99,12851,26.39
27,7/2/2021,2769,35.99,10005,22.99,1961,37.99,1572,69.99,4869,30.99,2496,61.99,3878,85.99,3827,61.99,5595,39.99,8730,21.99
28,7/9/2021,3282,35.99,6806,22.99,3647,37.99,1950,69.99,5231,30.99,1497,61.99,4940,85.99,3699,61.99,4825,39.99,10766,21.99
29,7/16/2021,3974,35.99,8042,22.99,3647,37.99,1054,69.99,9583,30.99,2248,61.99,2915,85.99,3962,61.99,6412,39.99,7984,21.99
30,7/23/2021,2209,35.99,8489,22.99,3315,37.99,1556,69.99,6789,30.99,1376,61.99,5462,85.99,2134,61.99,4519,39.99,6514,21.99
31,7/30/2021,2494,35.99,8582,22.99,2404,37.99,1061,69.99,4364,30.99,2327,61.99,5351,85.99,5004,61.99,4398,39.99,7554,21.99
32,8/6/2021,2790,35.99,9003,22.99,3444,37.99,1869,69.99,5616,30.99,2673,61.99,6346,85.99,819,61.99,1197,39.99,3818,21.99
33,8/13/2021,1702,35.99,8807,22.99,3314,37.99,1211,69.99,5678,30.99,1837,61.99,5639,85.99,2486,61.99,4903,39.99,8835,21.99
34,8/20/2021,1796,35.99,2649,22.99,3355,37.99,836,69.99,3508,30.99,2200,61.99,5614,85.99,3764,61.99,4454,39.99,5920,21.99
35,8/27/2021,2041,35.99,4500,22.99,2650,37.99,1482,69.99,8599,30.99,2961,61.99,4912,85.99,3402,61.99,3080,39.99,9579,21.99
36,9/3/2021,3595,43.19,12874,27.59,3327,45.59,1089,83.99,9039,37.19,2021,74.39,5689,103.19,3723,74.39,5783,47.99,13675,26.39
37,9/10/2021,3182,43.19,12269,27.59,3846,45.59,1800,83.99,8265,37.19,2559,74.39,10093,103.19,3032,74.39,3325,47.99,5737,26.39
38,9/17/2021,2350,43.19,5633,27.59,2659,45.59,1431,83.99,9031,37.19,3961,74.39,7443,103.19,2951,74.39,2955,47.99,13006,26.39
39,9/24/2021,4538,35.99,6723,22.99,6340,37.99,1992,69.99,6586,30.99,1462,61.99,7725,85.99,3463,61.99,4792,39.99,9677,21.99
40,10/1/2021,1791,35.99,9171,22.99,1285,37.99,1216,69.99,9098,30.99,1855,61.99,9140,85.99,1758,61.99,3761,39.99,8859,21.99
41,10/8/2021,2040,35.99,8190,22.99,3006,37.99,1473,69.99,4046,30.99,1862,61.99,3312,85.99,3774,61.99,4242,39.99,7781,21.99
42,10/15/2021,3085,35.99,3604,22.99,4517,37.99,1179,69.99,6392,30.99,2729,61.99,6964,85.99,5486,61.99,2947,39.99,3901,21.99
43,10/22/2021,3207,35.99,10582,22.99,3938,37.99,1600,69.99,6519,30.99,3175,61.99,4979,85.99,3612,61.99,922,39.99,11351,21.99
44,10/29/2021,3055,35.99,8879,22.99,3296,37.99,1178,69.99,7969,30.99,2957,61.99,3710,85.99,2146,61.99,3981,39.99,10501,21.99
45,11/5/2021,3078,35.99,4214,22.99,4068,37.99,1655,69.99,3482,30.99,3118,61.99,4186,85.99,5903,61.99,4569,39.99,7220,21.99
46,11/12/2021,2826,35.99,6978,22.99,4962,37.99,1330,69.99,8294,30.99,1656,61.99,2981,85.99,2238,61.99,5078,39.99,7713,21.99
47,11/19/2021,2590,35.99,8524,22.99,2891,37.99,802,69.99,7758,30.99,1962,61.99,5341,85.99,3983,61.99,2773,39.99,7389,21.99
48,11/26/2021,1792,35.99,6283,22.99,3441,37.99,1225,69.99,8279,30.99,2129,61.99,3706,85.99,3001,61.99,5413,39.99,13606,21.99
49,12/3/2021,3935,43.19,10917,27.59,4162,45.59,2197,83.99,9835,37.19,2447,74.39,6226,103.19,3068,74.39,3743,47.99,16337,26.39
50,12/10/2021,3463,43.19,3523,27.59,5081,45.59,1747,83.99,6719,37.19,3939,74.39,4521,103.19,5361,74.39,3688,47.99,14011,26.39
51,12/17/2021,5004,50.39,7167,32.19,5335,53.19,1289,97.99,6653,43.39,2488,86.79,7594,120.39,5974,86.79,2684,55.99,9004,30.79
52,12/24/2021,3549,43.19,6877,27.59,3315,45.59,1276,83.99,5196,37.19,1588,74.39,5638,103.19,3269,74.39,4140,47.99,10694,26.39
53,12/31/2021,3211,28.79,7714,18.39,1623,30.39,1308,55.99,6038,24.79,2288,49.59,3301,68.79,2291,49.59,4079,31.99,2539,17.59
54,1/7/2022,2150,28.79,5505,18.39,2834,30.39,1059,55.99,4144,24.79,2040,49.59,7253,68.79,2228,49.59,5040,31.99,6413,17.59
55,1/14/2022,2582,35.99,9510,22.99,3994,37.99,1152,69.99,8391,30.99,2132,61.99,5844,85.99,3111,61.99,3786,39.99,12221,21.99
56,1/21/2022,3591,35.99,9368,22.99,4199,37.99,1168,69.99,7693,30.99,3151,61.99,7499,85.99,2073,61.99,4966,39.99,6569,21.99
57,1/28/2022,2954,35.99,4821,22.99,3729,37.99,1209,69.99,5789,30.99,2978,61.99,7575,85.99,3182,61.99,3686,39.99,15904,21.99
58,2/4/2022,2420,28.79,3849,18.39,3684,30.39,674,55.99,8220,24.79,1837,49.59,4534,68.79,4846,49.59,3617,31.99,7094,17.59
59,2/11/2022,3198,28.79,5925,18.39,2248,30.39,697,55.99,4497,24.79,1778,49.59,6213,68.79,4310,49.59,2431,31.99,7842,17.59
60,2/18/2022,2816,28.79,8250,18.39,1071,30.39,1261,55.99,7025,24.79,1965,49.59,4304,68.79,4235,49.59,1773,31.99,8540,17.59
61,2/25/2022,2776,35.99,2477,22.99,2273,37.99,1028,69.99,5067,30.99,1646,61.99,4388,85.99,4496,61.99,5864,39.99,10597,21.99
62,3/4/2022,2269,35.99,5778,22.99,2943,37.99,912,69.99,3885,30.99,1991,61.99,5608,85.99,5391,61.99,3702,39.99,6862,21.99
63,3/11/2022,1599,39.59,8170,25.29,3009,41.79,1357,76.99,7139,34.09,2263,68.19,7588,94.59,3677,68.19,4541,43.99,10712,24.19
64,3/18/2022,1032,43.19,8486,27.59,4149,45.59,1218,83.99,8277,37.19,1975,74.39,5276,103.19,4944,74.39,4142,47.99,11195,26.39
65,3/25/2022,3303,43.19,8940,27.59,4803,45.59,1412,83.99,5791,37.19,2216,74.39,7105,103.19,4403,74.39,7140,47.99,8473,26.39
66,4/1/2022,3192,43.19,8016,27.59,2754,45.59,1442,83.99,7115,37.19,3272,74.39,3762,103.19,3176,74.39,3822,47.99,10498,26.39
67,4/8/2022,2633,43.19,7096,27.59,4004,45.59,1440,83.99,8734,37.19,3233,74.39,5120,103.19,4988,74.39,4176,47.99,8322,26.39
68,4/15/2022,4047,43.19,8717,27.59,2254,45.59,1629,83.99,7401,37.19,2890,74.39,2854,103.19,2462,74.39,7244,47.99,3573,26.39
69,4/22/2022,4681,43.19,9975,27.59,4517,45.59,1440,83.99,6654,37.19,2320,74.39,3929,103.19,4141,74.39,4421,47.99,10257,26.39
70,4/29/2022,3799,43.19,9431,27.59,2939,45.59,1329,83.99,6042,37.19,1339,74.39,6597,103.19,4555,74.39,5069,47.99,15216,26.39
71,5/6/2022,3780,43.19,5655,27.59,2262,45.59,1812,83.99,7665,37.19,2039,74.39,7009,103.19,3053,74.39,6973,47.99,21913,26.39
72,5/13/2022,2989,43.19,10927,27.59,3628,45.59,1179,83.99,10904,37.19,2572,74.39,7267,103.19,1061,74.39,4858,47.99,8711,26.39
73,5/20/2022,3677,43.19,10087,27.59,1574,45.59,1148,83.99,8515,37.19,2860,74.39,6848,103.19,3721,74.39,3573,47.99,10059,26.39
74,5/27/2022,3409,43.19,5976,27.59,4957,45.59,707,83.99,8761,37.19,4034,74.39,7616,103.19,2309,74.39,4209,47.99,13815,26.39
75,6/3/2022,1608,43.19,8517,27.59,5020,45.59,1699,83.99,6361,37.19,2579,74.39,6045,103.19,5074,74.39,5066,47.99,9160,26.39
76,6/10/2022,2436,43.19,6592,27.59,7029,45.59,1113,83.99,9681,37.19,3227,74.39,5622,103.19,2313,74.39,3289,47.99,11891,26.39
77,6/17/2022,2902,43.19,11023,27.59,4428,45.59,1765,83.99,6218,37.19,2553,74.39,4969,103.19,5317,74.39,5667,47.99,12078,26.39
78,6/24/2022,3474,43.19,6739,27.59,3734,45.59,1162,83.99,5439,37.19,3330,74.39,4480,103.19,5906,74.39,4342,47.99,12803,26.39
79,7/1/2022,3900,35.99,3618,22.99,2240,37.99,503,69.99,6344,30.99,2837,61.99,3833,85.99,1323,61.99,1815,39.99,6375,21.99
80,7/8/2022,4021,35.99,9893,22.99,4469,37.99,760,69.99,8322,30.99,1836,61.99,4148,85.99,2577,61.99,6387,39.99,8116,21.99
81,7/15/2022,2146,35.99,8257,22.99,2571,37.99,1509,69.99,5975,30.99,2278,61.99,6414,85.99,3082,61.99,5415,39.99,11359,21.99
82,7/22/2022,2157,35.99,7647,22.99,2237,37.99,1438,69.99,6838,30.99,2856,61.99,6168,85.99,4546,61.99,5994,39.99,9779,21.99
83,7/29/2022,2758,35.99,7614,22.99,3523,37.99,1350,69.99,9655,30.99,3173,61.99,3867,85.99,4361,61.99,4389,39.99,8447,21.99
84,8/5/2022,3359,35.99,6027,22.99,3604,37.99,1225,69.99,6064,30.99,1510,61.99,6858,85.99,3010,61.99,3403,39.99,11067,21.99
85,8/12/2022,3776,35.99,7111,22.99,3194,37.99,1361,69.99,4846,30.99,2134,61.99,5564,85.99,3765,61.99,4085,39.99,10934,21.99
86,8/19/2022,2777,35.99,9180,22.99,2678,37.99,1147,69.99,5309,30.99,2697,61.99,5681,85.99,2936,61.99,4581,39.99,1064,21.99
87,8/26/2022,2839,35.99,8129,22.99,2983,37.99,1682,69.99,3256,30.99,2428,61.99,6529,85.99,5272,61.99,6334,39.99,6255,21.99
88,9/2/2022,3302,43.19,7362,27.59,3150,45.59,1223,83.99,8818,37.19,1944,74.39,4927,103.19,5514,74.39,2575,47.99,8769,26.39
89,9/9/2022,5655,43.19,10095,27.59,4372,45.59,1707,83.99,7512,37.19,2984,74.39,4703,103.19,1855,74.39,4768,47.99,8653,26.39
90,9/16/2022,2681,43.19,5790,27.59,1578,45.59,1449,83.99,7114,37.19,2670,74.39,7541,103.19,4582,74.39,4168,47.99,7961,26.39
91,9/23/2022,1952,35.99,6065,22.99,3688,37.99,1187,69.99,7651,30.99,1868,61.99,5455,85.99,3025,61.99,5844,39.99,4522,21.99
92,9/30/2022,1680,35.99,9513,22.99,1132,37.99,1097,69.99,5064,30.99,2963,61.99,7945,85.99,2940,61.99,2874,39.99,10319,21.99
93,10/7/2022,3597,35.99,5169,22.99,2666,37.99,1749,69.99,6674,30.99,1931,61.99,7702,85.99,2964,61.99,4998,39.99,13192,21.99
94,10/14/2022,4263,35.99,6191,22.99,3359,37.99,1299,69.99,7093,30.99,1853,61.99,3833,85.99,4309,61.99,6063,39.99,7442,21.99
95,10/21/2022,1604,35.99,9222,22.99,3816,37.99,1210,69.99,6456,30.99,1727,61.99,6015,85.99,2289,61.99,2786,39.99,6881,21.99
96,10/28/2022,2253,35.99,5460,22.99,4179,37.99,1364,69.99,10949,30.99,1326,61.99,6624,85.99,1117,61.99,4843,39.99,7728,21.99
97,11/4/2022,3112,35.99,6269,22.99,3776,37.99,1099,69.99,1501,30.99,1863,61.99,6539,85.99,3609,61.99,6845,39.99,5078,21.99
98,11/11/2022,2098,35.99,9535,22.99,4792,37.99,1543,69.99,8742,30.99,1592,61.99,4769,85.99,2505,61.99,4286,39.99,8669,21.99
99,11/18/2022,2317,35.99,8238,22.99,4467,37.99,656,69.99,6475,30.99,2464,61.99,5023,85.99,4235,61.99,2752,39.99,-852,21.99
100,11/25/2022,2595,35.99,4491,22.99,3353,37.99,1464,69.99,9588,30.99,2496,61.99,7230,85.99,5267,61.99,2806,39.99,15040,21.99
101,12/2/2022,3264,43.19,7993,27.59,5099,45.59,1724,83.99,7466,37.19,2958,74.39,5076,103.19,4826,74.39,4814,47.99,10035,26.39
102,12/9/2022,3116,43.19,6410,27.59,4915,45.59,1286,83.99,7670,37.19,2181,74.39,6221,103.19,3926,74.39,4998,47.99,11839,26.39
103,12/16/2022,2473,50.39,9345,32.19,4369,53.19,1008,97.99,6938,43.39,3325,86.79,6240,120.39,2912,86.79,4581,55.99,11067,30.79
104,12/23/2022,4539,43.19,9857,27.59,2531,45.59,1931,83.99,7865,37.19,2911,74.39,6586,103.19,4012,74.39,4848,47.99,11392,26.39
105,12/30/2022,2819,28.79,7642,18.39,2697,30.39,1534,55.99,6412,24.79,1371,49.59,6212,68.79,2409,49.59,1822,31.99,11077,17.59
106,1/6/2023,1864,28.79,5133,18.39,898,30.39,1270,55.99,4748,24.79,2262,49.59,3088,68.79,3012,49.59,4240,31.99,7182,17.59
107,1/13/2023,2190,35.99,6418,22.99,2922,37.99,1279,69.99,8503,30.99,2427,61.99,4874,85.99,3420,61.99,3179,39.99,8143,21.99
108,1/20/2023,1488,35.99,5667,22.99,2426,37.99,1206,69.99,8187,30.99,985,61.99,4835,85.99,4091,61.99,5529,39.99,12272,21.99
109,1/27/2023,3629,35.99,4344,22.99,4165,37.99,1317,69.99,4857,30.99,2383,61.99,5145,85.99,461,61.99,4681,39.99,16170,21.99
110,2/3/2023,3987,28.79,6128,18.39,4323,30.39,1475,55.99,4678,24.79,2804,49.59,4410,68.79,2502,49.59,3786,31.99,4092,17.59
111,2/10/2023,2881,28.79,3763,18.39,3768,30.39,1215,55.99,6317,24.79,1453,49.59,5594,68.79,2326,49.59,2754,31.99,8094,17.59
112,2/17/2023,1861,28.79,5891,18.39,2071,30.39,1059,55.99,9719,24.79,1791,49.59,2931,68.79,2849,49.59,6188,31.99,6237,17.59
113,2/24/2023,2747,35.99,7867,22.99,3281,37.99,1153,69.99,4659,30.99,2486,61.99,4474,85.99,2494,61.99,4939,39.99,13059,21.99
114,3/3/2023,2465,35.99,4049,22.99,4913,37.99,997,69.99,8499,30.99,2836,61.99,4978,85.99,4629,61.99,4326,39.99,7398,21.99
115,3/10/2023,3418,39.59,5128,25.29,3670,41.79,1140,76.99,8431,34.09,1053,68.19,4211,94.59,3470,68.19,1497,43.99,19451,24.19
116,3/17/2023,2871,43.19,6263,27.59,1780,45.59,1657,83.99,7931,37.19,1611,74.39,4136,103.19,5027,74.39,2708,47.99,17233,26.39
117,3/24/2023,3535,43.19,11400,27.59,4124,45.59,1195,83.99,9155,37.19,2401,74.39,6474,103.19,3682,74.39,4755,47.99,11347,26.39
118,3/31/2023,3771,43.19,7332,27.59,4285,45.59,884,83.99,6113,37.19,2173,74.39,5374,103.19,2807,74.39,7566,47.99,12343,26.39
119,4/7/2023,4791,43.19,10301,27.59,1664,45.59,1970,83.99,10481,37.19,2223,74.39,4926,103.19,3253,74.39,6273,47.99,7040,26.39
120,4/14/2023,1785,43.19,8290,27.59,4045,45.59,1978,83.99,8353,37.19,2624,74.39,7382,103.19,1499,74.39,5215,47.99,13884,26.39
121,4/21/2023,2922,43.19,11863,27.59,2840,45.59,1659,83.99,10080,37.19,3326,74.39,6763,103.19,2680,74.39,2271,47.99,6512,26.39
122,4/28/2023,4700,43.19,10577,27.59,3956,45.59,1028,83.99,6737,37.19,1885,74.39,5185,103.19,3839,74.39,5538,47.99,16631,26.39
123,5/5/2023,3596,43.19,10098,27.59,5146,45.59,1449,83.99,3261,37.19,2425,74.39,6467,103.19,3454,74.39,5565,47.99,15496,26.39
124,5/12/2023,3593,43.19,10637,27.59,3875,45.59,838,83.99,13331,37.19,3741,74.39,8442,103.19,5078,74.39,4705,47.99,11673,26.39
125,5/19/2023,1905,43.19,10078,27.59,4741,45.59,1155,83.99,4434,37.19,3239,74.39,6661,103.19,1075,74.39,3926,47.99,4636,26.39
126,5/26/2023,2580,43.19,8023,27.59,4109,45.59,835,83.99,9446,37.19,2297,74.39,4958,103.19,4101,74.39,3888,47.99,10095,26.39
127,6/2/2023,3081,43.19,7168,27.59,4313,45.59,1419,83.99,9720,37.19,2331,74.39,6715,103.19,5318,74.39,5812,47.99,10646,26.39
128,6/9/2023,2651,43.19,8787,27.59,1591,45.59,1029,83.99,12422,37.19,2221,74.39,6639,103.19,2947,74.39,2377,47.99,12339,26.39
129,6/16/2023,2802,43.19,7309,27.59,3934,45.59,908,83.99,6906,37.19,1759,74.39,6033,103.19,2651,74.39,5635,47.99,10452,26.39
130,6/23/2023,2024,43.19,13535,27.59,4446,45.59,2062,83.99,7914,37.19,1367,74.39,4114,103.19,2852,74.39,4334,47.99,13809,26.39
131,6/30/2023,2376,35.99,7089,22.99,4069,37.99,1399,69.99,5974,30.99,2362,61.99,6595,85.99,3856,61.99,3042,39.99,9798,21.99
132,7/7/2023,3219,35.99,9004,22.99,4713,37.99,1215,69.99,6394,30.99,2597,61.99,5642,85.99,2818,61.99,3277,39.99,11423,21.99
133,7/14/2023,2485,35.99,6551,22.99,3593,37.99,1545,69.99,4990,30.99,3191,61.99,3211,85.99,3330,61.99,4595,39.99,10713,21.99
134,7/21/2023,3416,35.99,8606,22.99,5981,37.99,1511,69.99,11054,30.99,1979,61.99,7107,85.99,3710,61.99,3870,39.99,6142,21.99
135,7/28/2023,1908,35.99,6796,22.99,4327,37.99,1108,69.99,7456,30.99,2290,61.99,4953,85.99,5349,61.99,4733,39.99,7997,21.99
136,8/4/2023,1708,35.99,2222,22.99,2250,37.99,1296,69.99,9956,30.99,1030,61.99,3977,85.99,1374,61.99,3635,39.99,11971,21.99
137,8/11/2023,2902,35.99,6829,22.99,5372,37.99,1022,69.99,7961,30.99,2297,61.99,3098,85.99,4102,61.99,4550,39.99,8150,21.99
138,8/18/2023,2010,35.99,7700,22.99,3301,37.99,1405,69.99,4481,30.99,856,61.99,8845,85.99,3913,61.99,5491,39.99,9345,21.99
139,8/25/2023,2513,35.99,7661,22.99,2457,37.99,741,69.99,9047,30.99,3132,61.99,8291,85.99,3574,61.99,4744,39.99,6253,21.99
140,9/1/2023,4851,43.19,6761,27.59,4851,45.59,880,83.99,7973,37.19,2305,74.39,8174,103.19,3599,74.39,4148,47.99,10427,26.39
141,9/8/2023,4294,43.19,6973,27.59,3527,45.59,1457,83.99,5298,37.19,2841,74.39,6253,103.19,3642,74.39,6263,47.99,13154,26.39
142,9/15/2023,3887,43.19,7518,27.59,4460,45.59,1366,83.99,9458,37.19,2464,74.39,6159,103.19,2796,74.39,6085,47.99,4726,26.39
143,9/22/2023,4360,35.99,7425,22.99,4906,37.99,1973,69.99,8813,30.99,1172,61.99,2816,85.99,2558,61.99,2562,39.99,13845,21.99
144,9/29/2023,2051,35.99,7027,22.99,2426,37.99,1398,69.99,7759,30.99,1967,61.99,5841,85.99,3959,61.99,4118,39.99,7475,21.99
145,10/6/2023,2549,35.99,5790,22.99,2524,37.99,1929,69.99,6777,30.99,2053,61.99,4156,85.99,4061,61.99,1454,39.99,1883,21.99
146,10/13/2023,4515,35.99,7683,22.99,2866,37.99,1299,69.99,11016,30.99,2929,61.99,6840,85.99,3402,61.99,4125,39.99,8673,21.99
147,10/20/2023,2509,35.99,8343,22.99,4773,37.99,1613,69.99,6620,30.99,1258,61.99,2078,85.99,1881,61.99,4114,39.99,9806,21.99
148,10/27/2023,3800,35.99,7790,22.99,3864,37.99,1671,69.99,7282,30.99,1841,61.99,3896,85.99,5806,61.99,3075,39.99,9273,21.99
149,11/3/2023,1887,35.99,6773,22.99,2763,37.99,916,69.99,6221,30.99,2908,61.99,3646,85.99,3494,61.99,3362,39.99,9636,21.99
150,11/10/2023,2964,35.99,8641,22.99,3230,37.99,1302,69.99,1628,30.99,1580,61.99,4223,85.99,3838,61.99,4059,39.99,7963,21.99
151,11/17/2023,3326,35.99,3301,22.99,5140,37.99,1178,69.99,9339,30.99,2614,61.99,5346,85.99,3391,61.99,3829,39.99,13769,21.99
152,11/24/2023,2896,35.99,6978,22.99,3679,37.99,1720,69.99,5766,30.99,3946,61.99,4821,85.99,1770,61.99,4135,39.99,5139,21.99
153,12/1/2023,2928,43.19,5263,27.59,3959,45.59,889,83.99,9421,37.19,2309,74.39,1812,103.19,2415,74.39,5772,47.99,13925,26.39
154,12/8/2023,1296,43.19,7264,27.59,2936,45.59,956,83.99,5144,37.19,2596,74.39,3392,103.19,3770,74.39,4726,47.99,17614,26.39
155,12/15/2023,3347,50.39,8999,32.19,4233,53.19,1254,97.99,7197,43.39,2748,86.79,5342,120.39,3520,86.79,4836,55.99,7377,30.79
156,12/22/2023,2973,43.19,6315,27.59,6204,45.59,1269,83.99,8937,37.19,2405,74.39,6606,103.19,2769,74.39,5047,47.99,7971,26.39
157,12/29/2023,2283,28.79,7909,18.39,1409,30.39,1490,55.99,4893,24.79,1866,49.59,3643,68.79,2584,49.59,3901,31.99,5379,17.59
158,1/5/2024,2876,28.79,6728,18.39,4116,30.39,1214,55.99,5798,24.79,2087,49.59,5742,68.79,3551,49.59,2140,31.99,6505,17.59
159,1/12/2024,4339,35.99,5616,22.99,2284,37.99,581,69.99,10650,30.99,3202,61.99,5394,85.99,3788,61.99,3062,39.99,8457,21.99
160,1/19/2024,1997,35.99,8840,22.99,3610,37.99,975,69.99,6892,30.99,1565,61.99,9936,85.99,2993,61.99,4282,39.99,8726,21.99
161,1/26/2024,2695,35.99,6076,22.99,3801,37.99,1110,69.99,7441,30.99,1360,61.99,6540,85.99,3796,61.99,4667,39.99,11769,21.99
162,2/2/2024,2716,28.79,4309,18.39,1892,30.39,1170,55.99,4095,24.79,1636,49.59,6401,68.79,3268,49.59,3491,31.99,9682,17.59
163,2/9/2024,1766,28.79,5744,18.39,2263,30.39,1466,55.99,4521,24.79,1989,49.59,4639,68.79,2984,49.59,4634,31.99,7770,17.59
164,2/16/2024,1582,28.79,6439,18.39,3054,30.39,1193,55.99,4749,24.79,1336,49.59,4499,68.79,2203,49.59,2476,31.99,8523,17.59
165,2/23/2024,2748,35.99,7880,22.99,2336,37.99,1222,69.99,5957,30.99,1751,61.99,6678,85.99,2758,61.99,4404,39.99,6365,21.99
166,3/1/2024,3004,35.99,5805,22.99,2811,37.99,594,69.99,4531,30.99,3205,61.99,5596,85.99,3839,61.99,3213,39.99,11661,21.99
167,3/8/2024,3498,39.59,7019,25.29,2446,41.79,1514,76.99,6940,34.09,2168,68.19,5306,94.59,5,68.19,2706,43.99,6940,24.19
168,3/15/2024,2221,43.19,9094,27.59,5105,45.59,1053,83.99,3611,37.19,3206,74.39,7248,103.19,4084,74.39,3566,47.99,13300,26.39
169,3/22/2024,4105,43.19,9630,27.59,5882,45.59,1248,83.99,7253,37.19,3570,74.39,2914,103.19,1222,74.39,2545,47.99,11155,26.39
170,3/29/2024,1834,43.19,12981,27.59,3365,45.59,1478,83.99,7268,37.19,2861,74.39,5047,103.19,2928,74.39,3018,47.99,7643,26.39
171,4/5/2024,4157,43.19,9181,27.59,4190,45.59,1481,83.99,6440,37.19,2339,74.39,4533,103.19,4209,74.39,2550,47.99,12076,26.39
172,4/12/2024,4417,43.19,7071,27.59,3319,45.59,1304,83.99,2575,37.19,3714,74.39,4791,103.19,1694,74.39,5044,47.99,11338,26.39
173,4/19/2024,1516,43.19,6978,27.59,4946,45.59,772,83.99,6346,37.19,2444,74.39,6479,103.19,2134,74.39,2563,47.99,7075,26.39
